avg_open_issue_age,avg_task_pct_complete,baseline_cpi,baseline_spi,change_in_cpi,change_in_spi,cost_variance_ratio,days_since_last_update,has_blocker,has_budget_concern,has_risk,has_timeline_concern,issue_count,issue_to_task_ratio,late_task_count,late_task_ratio,negative_sentiment_label_count,open_issue_count,open_task_count,percentComplete,progress_vs_time_ratio,projectID,reassignment_count,schedule_slippage_days,scope_change_count,sentiment_trend,task_count,health_cluster
0,0.0,1.0,1,0.0,0,0.0,42,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,684161330000bc5764dba4cd5554b331,0,0,0,0.0,0,2
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,064d8253190249bf9d87dd9f274e9163,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,703c689253904fdea189281cddd3e7a0,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,70895f94831a4cb0bad885aea7c93158,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,7320321dc0834af59d45c9a7e02e91b0,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,35,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,684a94150001c6f002213f63cd30c5da,0,0,0,0.0,0,2
-1839,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,2,0.086956518,23,0.9999999565,0,2,23,0.0,0.0,7b5706e7dd9640798bd71c1670331dc9,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,81fe77c9dfdf4d3f908c829c195d63e0,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,82e2fb74409b4ef5937f72ce43d3199f,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,e6e79645a39d4a629429a74f88ba1d46,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,e7529e1eeaf547eb8c94a9d30ea0fa5a,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,e98b72d95b77427aa0af98f0784afda3,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,efbc87f85b434d1eb4f41d0fd41245be,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,f20f97a63b3849118b2db653eb2784e7,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,8a6dc617ce434248b50877adfc9730ff,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,975c35ab3fbb4d719bbbb6dcfd3bb334,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,9d2a411005154666811fe181a491f444,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,9fadcfcd6ab545778a12b3f2cb1e7189,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,a4ef3cd578644cf7b3d00b7814b954a5,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,abe0532a2bfc42ac9733af59a9285f2d,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,b4bab7bea19240ae9c3a91cd01abbed6,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,c1b2bd9b385e479eb0f07c819d3e9342,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,c2cdf9ecdb0e48538b18aaa5e499d258,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,acaf0f045dd549c5a44edd40b1f6e459,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,c4f9c322f3af4ac1b8ad76a1fa34e720,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,c9693aca049a4d0696a7802bbc0bc9a8,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,cc09dc86374441c9a423271c07776823,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,d3ef237aced54eb29f7210968a78e44e,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,108663c8e87d491790b6f80fd2c387d5,0,0,0,0.0,11,0
0,50.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,5,0.49999995,0,0,5,50.0,50000000.0,1356b079d9504a19b97462cad3ae3d29,0,0,0,0.0,10,2
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,140ea114c25c47968e77a54f7155cd36,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,34627a5c16374c46a866b8dcc3a5e736,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,37c6d4330dd64ff9a42f3e7ad1b6f669,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,152277843c204453b818332332e29c9d,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,1a102f34c7c5436eadf2a324df3a0036,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,f3abd23960ab4989b976ddef56871224,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,fece649ef92642548e7a65b85f4444e0,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,2c7e603647234a75b48dac1b9c2dc3ad,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,37e6a37aeb2f41d8a04a09e2cc3faf53,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,37faff25e41c452bacb8d46cc0867c00,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,3907fa11bcea467caaa66128ca37a642,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,42b4b6a20c0146ab891943dcc073a2f0,0,0,0,0.0,15,0
-1853,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,1,0.0909090826,11,0.9999999091,0,1,11,0.0,0.0,49eb5e762c124d51a0a59fa5c1c562a7,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,4b708aba41c9493e8754759f8082448c,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,5193ea1dc02b4e689d37f0ea423b9446,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,522fa863eb9946b5a1a3e98776c86f9c,0,0,0,0.0,15,0
-1839,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,1,0.0909090826,11,0.9999999091,0,1,11,0.0,0.0,52cc20751e594c7a99379e4721dfa3a0,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,56060ad3d38441fa92992cfca8732cb5,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,5af0cf6df643453b8df9fcd40a31496c,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,23,0.9999999565,0,0,23,0.0,0.0,5c9e0380b5164d39a8ba59faae6f9832,0,0,0,0.0,23,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,5f162d27be8046008233e87ee61669d8,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,6073b4d576f844039514f198dd3f4854,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,621393cc7d2f46dda322399bca8862fc,0,0,0,0.0,11,0
0,0.0,1.0,1,0.0,0,0.0,37,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,692400ac7d184a9f95ba6575b8c5bf6c,0,0,0,0.0,15,0
0,0.0,1.0,1,0.0,0,0.0,-1853,0,0,0,0,0,0.0,11,0.9999999091,0,0,11,0.0,0.0,6f24956ade504123afd2c81bf6e36cf4,0,0,0,0.0,11,0
-1853,0.0,1.0,1,0.0,0,0.0,2,0,0,0,0,1,0.0909090826,0,0.0,0,1,11,0.0,0.0,03885c1cbc3f444fa6a00163d3cc1671,0,0,4,0.6000000000000001,11,2
-1839,0.0,1.0,1,0.0,0,0.0,2,1,0,0,1,1,0.043478259,23,0.9999999565,2,1,23,0.0,0.0,779ca0c083184336abef873a7d83e702,0,0,0,-0.8,23,3
0,36.695,1.1259,1,0.1259,0,0.9148648648,2,0,0,0,0,0,0.0,18,0.7499999688,0,0,18,55.32,55320000.0,004917c7001841928e49d8fad91a6a57,0,0,0,0.8,24,1
0,70.0214285714,0.9785,1,-0.0215,0,0.2077464789,2,0,0,0,0,0,0.0,9,0.4285714082,0,0,9,79.3,79300000.0,0fe790b4623e4800ae76487194e724b0,0,0,0,0.9,21,1
0,0.0,1.0,1,0.0,0,0.0,2,0,0,0,0,0,0.0,15,0.9999999333,0,0,15,0.0,0.0,3b2691c9f3f04eada4ee62c7b0bd8802,0,0,0,0.6000000000000001,15,0
72,3.5714285714000003,1.0,1,0.0,0,0.0,2,0,0,0,0,1,0.0357142844,28,0.9999999643,0,1,28,0.74,740000.0,283888fa4c71452a8574fe890ad2a162,0,0,0,0.8,28,0
0,11.0119047619,0.7619,1,-0.2381,0,0.9616336633,2,0,0,0,0,0,0.0,19,0.9047618617,0,0,19,17.46,17460000.0,3db6ecd66ab4427d86caa9629ae18629,0,0,0,0.8,21,0
0,5.2,1.0,1,0.0,0,0.0,2,0,0,0,0,0,0.0,25,0.99999996,0,0,25,11.14,11140000.000000002,56107f6c45154df9a68fe04d909e750c,0,0,0,0.95,25,0
0,82.6668,1.0479,1,0.0479,0,0.7704824436000001,2,0,0,0,0,0,0.0,5,0.199999992,0,0,5,87.18,87180000.00000001,5bc8457674ce41f7b7a48dee2b91a3a6,0,0,0,0.9,25,1
0,0.0,1.0,1,0.0,0,0.0,2,0,0,0,1,0,0.0,23,0.9999999565,1,0,23,0.0,0.0,60489f33d24f4e82850ac5e9a16ae64b,0,0,0,0.0,23,0
